id,created,product,responded_in_24h,responded_in_72h,solved
1271957,2019-11-01 10:43:54 -0800,firefox,true,true,true
1271956,2019-11-01 10:34:38 -0800,firefox,true,true,false
1271955,2019-11-01 10:19:21 -0800,ios,false,false,false
1271954,2019-11-01 09:56:23 -0800,firefox,true,true,true
1271953,2019-11-01 09:53:37 -0800,firefox,true,true,true
1271952,2019-11-01 09:20:13 -0800,thunderbird,false,false,false
1271951,2019-11-01 09:13:30 -0800,mobile,true,true,false
1271950,2019-11-01 09:09:05 -0800,firefox,false,true,false
1271949,2019-11-01 08:49:27 -0800,firefox,true,true,false
1271948,2019-11-01 08:24:19 -0800,thunderbird,true,true,true
1271947,2019-11-01 08:18:54 -0800,thunderbird,true,true,true
1271946,2019-11-01 08:17:58 -0800,firefox,false,false,false
1271945,2019-11-01 08:13:22 -0800,thunderbird,true,true,true
1271944,2019-11-01 08:08:53 -0800,firefox,false,true,false
1271943,2019-11-01 07:46:54 -0800,firefox,false,false,false
1271942,2019-11-01 07:33:18 -0800,firefox,true,true,false
1271941,2019-11-01 07:33:04 -0800,thunderbird,false,true,false
1271940,2019-11-01 07:30:40 -0800,mobile,false,true,false
1271939,2019-11-01 07:25:02 -0800,firefox,false,false,false
1271938,2019-11-01 07:22:14 -0800,firefox,true,true,false
1271937,2019-11-01 07:18:47 -0800,firefox,true,true,false
1271936,2019-11-01 07:13:22 -0800,firefox,false,true,true
1271935,2019-11-01 06:52:55 -0800,firefox,false,true,false
1271934,2019-11-01 06:22:02 -0800,thunderbird,false,true,false
1271933,2019-11-01 06:05:56 -0800,thunderbird,true,true,true
1271932,2019-11-01 05:54:32 -0800,thunderbird,false,false,false
1271931,2019-11-01 05:03:49 -0800,mobile,false,true,true
1271930,2019-11-01 04:43:47 -0800,mobile,false,true,false
1271929,2019-11-01 04:31:49 -0800,thunderbird,true,true,false
1271928,2019-11-01 04:31:02 -0800,firefox,false,true,true
1271927,2019-11-01 04:30:48 -0800,firefox-enterprise,false,false,false
1271926,2019-11-01 04:20:39 -0800,thunderbird,false,false,false
1271925,2019-11-01 04:13:01 -0800,firefox,true,true,false
1271924,2019-11-01 02:19:14 -0800,thunderbird,true,true,true
1271923,2019-11-01 02:04:41 -0800,firefox,true,true,true
1271922,2019-11-01 01:55:07 -0800,firefox,true,true,false
1271921,2019-11-01 01:29:12 -0800,mobile,false,false,false
1271920,2019-10-31 23:10:34 -0800,mobile,true,true,false
1271919,2019-10-31 20:54:35 -0800,firefox,true,true,false
1271918,2019-10-31 19:32:24 -0800,firefox,false,true,false
1271917,2019-10-31 19:29:57 -0800,firefox,false,true,true
1271916,2019-10-31 18:51:37 -0800,thunderbird,false,true,false
1271915,2019-10-31 18:37:16 -0800,firefox,true,true,false
1271914,2019-10-31 18:36:30 -0800,thunderbird,true,true,true
1271913,2019-10-31 18:10:38 -0800,firefox,true,true,false
1271912,2019-10-31 18:00:06 -0800,firefox,true,true,false
1271911,2019-10-31 17:53:53 -0800,thunderbird,false,false,false
1271910,2019-10-31 17:05:36 -0800,thunderbird,true,true,true
1271909,2019-10-31 16:50:34 -0800,firefox,true,true,false
1271908,2019-10-31 16:29:59 -0800,firefox,true,true,false
1271907,2019-10-31 16:25:18 -0800,thunderbird,true,true,false
1271906,2019-10-31 16:21:58 -0800,thunderbird,true,true,false
1271905,2019-10-31 16:11:41 -0800,thunderbird,true,true,false
1271904,2019-10-31 16:02:58 -0800,thunderbird,true,true,true
